main,mid,sub,applicationNumber,link
26,04,18,4019600000057,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce67305495aeca5c3774e
26,01,18,4019600000065,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621001d643fa4cd14eab870ba38b2a174e1
04,05,21,4019600000071,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b336c3cb8ae471251d1292816e1a62e8
26,02,18,4019600000071,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b336c3cb8ae471251d1292816e1a62e8
26,02,24,4019600000071,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b336c3cb8ae471251d1292816e1a62e8
03,07,24,4019600000081,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621850f7795657ebb444004698f73014978
25,01,06,4019600000081,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621850f7795657ebb444004698f73014978
26,04,06,4019600000081,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621850f7795657ebb444004698f73014978
26,01,04,4019600000098,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662180fc10d17baf56cb70a52dbfac276e9d
26,03,05,4019600000098,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662180fc10d17baf56cb70a52dbfac276e9d
26,04,10,4019600000098,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662180fc10d17baf56cb70a52dbfac276e9d
22,03,01,4019600000099,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662180fc10d17baf56cb7f5fcd2b83dca6e1
22,03,05,4019600000099,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662180fc10d17baf56cb7f5fcd2b83dca6e1
04,03,09,4019600000133,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66211391fc2ed3d4cd8b78e621b153d7cdaf
28,07,00,4019600000201,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621fc943981d6c9b89a1bc9703a8674b033
01,01,02,4019600000222,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351512496e6d214d4f92b349bddf3f1d97afb
05,13,07,4019600000222,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351512496e6d214d4f92b349bddf3f1d97afb
09,01,07,4019600000222,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351512496e6d214d4f92b349bddf3f1d97afb
22,03,01,4019600000299,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351512d6a7fe88520dcc7b409bf82ed62a269
22,03,05,4019600000299,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351512d6a7fe88520dcc7b409bf82ed62a269
25,03,07,4019600000383,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621080d0af1a7220dffe974f51b506e5558
26,04,16,4019600000383,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621080d0af1a7220dffe974f51b506e5558
26,11,12,4019600000383,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621080d0af1a7220dffe974f51b506e5558
01,01,08,4119600000003,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3d75d6ce1e598c645d24b5b927ef7de107d5a7a721933853e8f60f5b362f6b3ea
26,01,09,4119600000003,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3d75d6ce1e598c645d24b5b927ef7de107d5a7a721933853e8f60f5b362f6b3ea
26,01,13,4119600000003,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3d75d6ce1e598c645d24b5b927ef7de107d5a7a721933853e8f60f5b362f6b3ea
26,01,18,4019600000423,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f136976a3fbf39153
26,02,05,4019600000423,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f136976a3fbf39153
26,02,24,4019600000423,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f136976a3fbf39153
26,01,18,4019600000424,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f83e4cfe80f638097
26,02,05,4019600000424,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f83e4cfe80f638097
26,02,24,4019600000424,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66217bd14681ce27a86f83e4cfe80f638097
26,05,02,4019600000444,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151c39c707e4021396b9a8880f85381f745
26,05,18,4019600000444,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151c39c707e4021396b9a8880f85381f745
26,05,02,4019600000445,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edcbf8541c09af1b456
26,05,18,4019600000445,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edcbf8541c09af1b456
26,05,02,4019600000446,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edc0528fc0dd45e71ff
26,05,18,4019600000446,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edc0528fc0dd45e71ff
26,05,02,4019600000447,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edc4a077ca2960dc9e7
26,05,18,4019600000447,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662178cf4667ec611edc4a077ca2960dc9e7
03,07,08,4019600000454,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66214f792476ca9d08f47122dd084401decb
26,01,15,4019600000454,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66214f792476ca9d08f47122dd084401decb
26,01,18,4019600000477,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66218c51a3ed5c9f7807f5068c924ea35697
03,07,21,4019600000481,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec364a1ecb99261e7fedd51696f3e5b6a263
03,07,24,4019600000481,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec364a1ecb99261e7fedd51696f3e5b6a263
26,01,15,4019600000481,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec364a1ecb99261e7fedd51696f3e5b6a263
26,01,18,4019600000481,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec364a1ecb99261e7fedd51696f3e5b6a263
03,07,21,4019600000482,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec3615dbace36f7c1ed8f9b3153cef45d132
03,07,24,4019600000482,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510204dd6573ebec3615dbace36f7c1ed8f9b3153cef45d132
24,15,01,4019600000521,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621054aedc6f45d81fc7b101c2b0443ed9f
24,15,02,4019600000522,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621054aedc6f45d81fcc03c8bdefa3c2165
26,13,01,4019600000575,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621416f0096cfde90497dd41e5aeb3980d5
26,01,18,4019600000591,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351510cab777c92f8a3924eed7630c47da6b9
19,03,24,4019600000613,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef5740f408aaca77c1455d4065ad2a91
24,01,19,4019600000613,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef5740f408aaca77c1455d4065ad2a91
24,09,01,4019600000613,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef5740f408aaca77c1455d4065ad2a91
01,01,04,4019600000653,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621cbdbddd414f661ed42917b141fb88867
26,01,04,4019600000653,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621cbdbddd414f661ed42917b141fb88867
26,01,13,4019600000653,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621cbdbddd414f661ed42917b141fb88867
26,13,25,4019600000671,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662195ee08cad2542daffe5c66d3eb4c32b0
26,04,18,4019600000698,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151e0933f46d350fb7fbe03dd8803cae2c4
26,11,08,4019600000699,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151e0933f46d350fb7f2a65474b371ea8e0
27,05,08,4019600000699,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151e0933f46d350fb7f2a65474b371ea8e0
27,09,03,4019600000699,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151e0933f46d350fb7f2a65474b371ea8e0
07,01,05,4019600000727,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621d78cba2f3a7e2cf1731562834fe174af
04,03,09,4019600000730,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd3515108d47faca1475f968d47f19765790804
23,01,01,4019600000752,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621c620048d4f452df7d847bfef7aab46c4
24,01,12,4019600000752,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621c620048d4f452df7d847bfef7aab46c4
25,01,18,4019600000752,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621c620048d4f452df7d847bfef7aab46c4
26,11,08,4019600000767,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef57b32d90330a47085906f91b0c0664
27,05,11,4019600000767,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef57b32d90330a47085906f91b0c0664
03,07,03,4019600000782,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662185db03e900ee7933672455f980caafce
26,01,15,4019600000782,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662185db03e900ee7933672455f980caafce
26,04,10,4019600000782,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662185db03e900ee7933672455f980caafce
26,01,06,4019600000791,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66216513e25614cc558af5b7465986e2c65f
26,01,18,4019600000791,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66216513e25614cc558af5b7465986e2c65f
26,11,14,4019600000791,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66216513e25614cc558af5b7465986e2c65f
01,01,02,4019600000881,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401b256bae1198b1bb6
26,05,13,4019600000881,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401b256bae1198b1bb6
26,11,25,4019600000881,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401b256bae1198b1bb6
01,01,02,4019600000882,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401882460039f3f2c94
26,04,13,4019600000882,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401882460039f3f2c94
27,09,22,4019600000882,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ba16968954f42401882460039f3f2c94
07,01,01,4019600000898,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621e3a9ef0857eb5854eb03dc5298478471
24,01,11,4019600000898,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621e3a9ef0857eb5854eb03dc5298478471
26,01,18,4019600000909,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b2a0a47fbf061a26558e3d6cf1a8ce8d
27,09,26,4019600000909,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b2a0a47fbf061a26558e3d6cf1a8ce8d
26,01,18,4019600000761,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ef57b32d90330a473f4327bfe408533d
26,01,18,4019600000959,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a662192adf37bdbb24cf23bc798472b96f414
26,01,18,4019600000960,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621468ca597502eae7eebb0919e3b1af169
26,01,18,4019600000962,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621468ca597502eae7ece159666c56ee4e9
26,01,18,4019600000963,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621468ca597502eae7eaa93a228edda1188
26,01,18,4019600000964,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621468ca597502eae7e0a9771379cfe52f5
26,01,18,4019600000965,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd351515774bdd98f4ee2b02d8e33582613451d
05,03,13,4019600000980,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe6d77c23a59ccf2548
24,09,22,4019600000980,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe6d77c23a59ccf2548
26,04,09,4019600000980,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe6d77c23a59ccf2548
01,15,09,4019600000989,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe62b03cdb2c5357500
17,02,02,4019600000989,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe62b03cdb2c5357500
26,04,10,4019600000989,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddead1c5f7972fe62b03cdb2c5357500
02,01,17,4019600001005,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519ac1d0439fe02e2b730dfc6daa8a6599
02,01,22,4019600001005,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519ac1d0439fe02e2b730dfc6daa8a6599
26,04,14,4019600001005,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519ac1d0439fe02e2b730dfc6daa8a6599
26,01,18,4019600001026,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b515537e39bf6a511d96ce9a617cc184c46
05,01,02,4019600001047,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e737585c2e0bf82625e7daa
26,01,15,4019600001047,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e737585c2e0bf82625e7daa
26,11,08,4019600001047,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e737585c2e0bf82625e7daa
05,01,02,4019600001048,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e7375856a138a0b1ea969ca
26,01,15,4019600001048,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e7375856a138a0b1ea969ca
26,11,08,4019600001048,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e7375856a138a0b1ea969ca
05,01,16,4019600001049,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3240beccb36dc90b519cc78de02e7375858fb2c38659032889
